Timestamp                       Thread     Type        Activity             PID    TTL  
2022-03-08 13:08:51.014511-0800 0x65       Default     0x0                  0      0    kernel: (AppleImage4) Darwin Image4 Validator Version 4.2.0: Mon Feb 21 21:25:57 PST 2022; root:AppleImage4-158.100.11~2101/AppleImage4/RELEASE_ARM64E
2022-03-08 13:08:51.015144-0800 0x65       Default     0x0                  0      0    kernel: (AppleImage4) AppleImage4:
2022-03-08 13:08:51.015194-0800 0x65       Default     0x0                  0      0    kernel: (AppleImage4) failed to read nvram property: oblit-inprogress: 2
2022-03-08 13:08:51.015360-0800 0x65       Default     0x0                  0      0    kernel: (AppleImage4) 
2022-03-08 13:08:51.016414-0800 0x65       Default     0x0                  0      0    kernel: (AppleMobileFileIntegrity_research) AMFI is running in RESEARCH mode!
2022-03-08 13:08:51.016620-0800 0x65       Default     0x0                  0      0    kernel: (AppleMobileFileIntegrity_research) AMFI: UDID enforcement enabled
2022-03-08 13:09:00.370186-0800 0x5f4      Default     0x0                  0      0    kernel: (AppleMobileFileIntegrity_research) static IOReturn AppleMobileFileIntegrityUserClient::isCdhashInTrustCache(OSObject *, void *, IOExternalMethodArguments *): Process 30 is checking if a cdhash is in the trust cache
2022-03-08 13:09:00.371588-0800 0x5f4      Default     0x0                  0      0    kernel: (AppleMobileFileIntegrity_research) static IOReturn AppleMobileFileIntegrityUserClient::isCdhashInTrustCache(OSObject *, void *, IOExternalMethodArguments *): Returning IOReturn 0x0 to process 30
2022-03-08 13:08:59.915688-0800 0x871      Error       0x0                  158    0    cryptexd: [com.apple.libcryptex:codex] <private>: openat: [2: No such file or directory]
2022-03-08 13:09:00.194665-0800 0x8ac      Default     0x0                  0      0    kernel: (AppleMobileFileIntegrity_research) Invalid denylist
2022-03-08 13:09:03.554135-0800 0xb6b      Default     0x0                  0      0    kernel: (AppleMobileFileIntegrity_research) static IOReturn AppleMobileFileIntegrityUserClient::isCdhashInTrustCache(OSObject *, void *, IOExternalMethodArguments *): Process 208 is checking if a cdhash is in the trust cache
2022-03-08 13:09:03.554153-0800 0xb6b      Default     0x0                  0      0    kernel: (AppleMobileFileIntegrity_research) static IOReturn AppleMobileFileIntegrityUserClient::isCdhashInTrustCache(OSObject *, void *, IOExternalMethodArguments *): Returning IOReturn 0x0 to process 208
2022-03-08 16:09:20.214443-0500 0xb6b      Default     0x0                  0      0    kernel: (AppleMobileFileIntegrity_research) static IOReturn AppleMobileFileIntegrityUserClient::isCdhashInTrustCache(OSObject *, void *, IOExternalMethodArguments *): Process 208 is checking if a cdhash is in the trust cache
2022-03-08 16:09:20.214449-0500 0xb6b      Default     0x0                  0      0    kernel: (AppleMobileFileIntegrity_research) static IOReturn AppleMobileFileIntegrityUserClient::isCdhashInTrustCache(OSObject *, void *, IOExternalMethodArguments *): Returning IOReturn 0x0 to process 208
2022-03-08 16:09:20.216188-0500 0xbad      Default     0x0                  0      0    kernel: (AppleMobileFileIntegrity_research) static IOReturn AppleMobileFileIntegrityUserClient::isCdhashInTrustCache(OSObject *, void *, IOExternalMethodArguments *): Process 208 is checking if a cdhash is in the trust cache
